student_id,minor
649fac55-bf02-453f-bfc4-80590ee7e1b3,"General merchandising, sales, and related marketing operations, other"
a07846b0-25b5-4fb8-97bd-756f622501be,"Computer and information sciences,  other"
1ffd64b6-1701-4b62-b196-7379325ebc73,Computer science
31b75b61-cd97-4829-9887-b3f918ff0e99,Spanish language and literature
309dadc6-565a-450a-a31f-b8110e2da628,French language and literature
309dadc6-565a-450a-a31f-b8110e2da628,Religion/Religious studies
1e08c303-cfa1-4379-9cc5-e88fd921f490,"Multi-/Interdisciplinary studies, general"
767e1a6e-8670-48f8-be39-1be22f7263b2,"Psychology, general"
19c7890f-d9ee-4d48-b31d-97547991e549,Spanish language and literature
a4e7fb9f-d878-46de-9ae5-e624f6e8b85b,
9562ebea-97be-495a-9732-a83405ffa8bb,Horticultural science
53786f15-e239-413f-93b0-87621fc04d39,"Biology/Biological sciences, general"
04b5bc19-03b9-4039-9706-d41cf1a5fba3,"Political science and government, general"
04b5bc19-03b9-4039-9706-d41cf1a5fba3,Entrepreneurship/Entrepreneurial studies
86c042e9-cc5f-4c86-a3bb-adcd1343ef76,Gerontology
b9c58cbc-3db2-4e58-8ea7-16652cdc8b92,Environmental science
1145db23-f618-4575-ac6a-0abced7c7b26,"English language and literature, general"
1145db23-f618-4575-ac6a-0abced7c7b26,Theology/Theological studies
14978a55-b1f0-4140-a735-e2a62e9711d4,"General merchandising, sales, and related marketing operations, other"
6037f8c7-cd88-42c6-abe7-1608c6cbea9c,French language and literature
2bc98199-7df9-4753-a701-6ff57fd1704e,Legal studies
88c8e162-d226-437c-acca-5178f2ff5bd3,"Business administration, management and operations, other"
343a54c6-de63-4e38-b6a3-a5c542f144b6,"History, general"
343a54c6-de63-4e38-b6a3-a5c542f144b6,Geography
8e17e3a9-368f-4575-995a-aa464eb56f04,"History, general"
8e17e3a9-368f-4575-995a-aa464eb56f04,"Business administration, management and operations, other"
de2a578d-16c2-4edf-8018-36ba4653845f,"Marketing/Marketing management, general"
a7c3dbd7-bdc9-45fd-8f2f-22a966a4cb2c,French language and literature
b8176f95-3ce9-4f39-b683-3311ddc4f4ec,"Marketing, other"
c8683107-c328-4a02-a0a2-c10c4bd09a37,"Marketing, other"
a7c3dbd7-bdc9-45fd-8f2f-22a966a4cb2c,Teaching english as a second or foreign language/Esl language instructor
92099504-c24f-4ca5-8fba-f4b8c9de5a1d,Environmental studies
4c47e6f9-64df-48fa-8623-cbdbbf8c08a4,"Computer and information sciences,  other"
